,departement,tx_pauvrete,revenu_median,revenu_moyen,tx_crim_pour_100 M_hab,tx_chomage,tx_urbanisation,densite_2018_(hab/km²),tx_scolarisation_pop,tx_pop_sans_dipl
48,49,11.4,20440.0,2.8,3305.006926918855,8.5,82.9,114.0,61.344971100148605,29.0
49,50,12.1,20300.0,2.8,2611.479966108722,7.225,52.0,84.0,58.955417168183345,34.5
50,51,14.4,21020.0,3.4,4502.939909825188,8.825,66.5,70.0,61.39358540156766,27.9
51,52,15.1,19700.0,2.8,3846.504213163288,8.55,44.9,28.0,57.163558673682715,35.4
52,53,11.4,20170.0,2.6,2912.716095561808,6.1499999999999995,51.0,59.0,59.76134995776935,30.4
53,54,14.7,20990.0,3.3,4108.354544971172,9.25,76.8,140.0,62.40633082328627,29.1
54,55,15.1,19890.0,2.9,3415.8355013969986,8.975,41.2,30.0,57.81377114954467,33.1
55,56,11.2,20940.0,2.8,3265.9752844393715,8.4,68.4,111.0,61.06463939039005,36.2
56,57,14.9,21050.0,3.4,3565.4255492457273,9.55,75.1,168.0,59.33501619095457,27.7
57,58,15.5,19810.0,2.9,3521.541446650771,8.4,48.5,30.0,58.12851533173349,41.4
58,59,18.8,19490.0,3.4,5672.063127961139,12.175,91.5,454.0,61.859493065008664,26.3
59,60,12.9,21500.0,3.1,4506.593669155843,9.4,66.4,141.0,58.8234328865852,26.4
60,61,15.4,19530.0,2.9,3055.3477407789055,8.625,41.8,46.0,58.95789972705714,36.3
61,62,19.3,18610.0,3.0,4245.315793130601,11.5,82.1,220.0,58.807331952954,29.2
62,63,12.7,21330.0,3.1,4083.1092388128654,8.15,68.8,83.0,61.91039299635228,31.1
63,64,12.2,21250.0,3.1,3670.7027368601334,7.800000000000001,78.4,89.0,60.80106099140278,33.5
64,65,15.0,19910.0,2.9,3732.1139456526494,10.3,62.2,51.0,60.13668152200744,37.3
65,66,20.5,18880.0,3.3,5394.4339996459075,14.325000000000001,87.5,116.0,59.09219459723499,37.9
66,67,13.0,22090.0,3.3,3410.394301853568,8.1,80.0,238.0,61.329535424163886,27.0
67,68,12.9,22490.0,3.6,3377.2234074578223,9.0,78.9,217.0,58.52766280443568,27.6
68,69,13.8,22410.0,3.7,6805.387455996493,8.375,94.6,572.0,62.936714055383014,24.6
69,70,13.4,20090.0,2.8,3137.003029675609,8.55,42.6,44.0,57.88382880007489,33.0
70,71,12.9,20230.0,2.9,3183.9160397041155,8.325,59.2,64.0,58.044084414910046,35.3
71,72,13.0,20490.0,2.8,3758.477403593254,9.025,64.8,91.0,59.56541499948973,32.5
72,73,9.8,22460.0,3.0,4416.082602383261,7.300000000000001,77.2,72.0,59.4331446218677,28.7
73,74,9.1,25700.0,4.2,4262.410820451843,6.824999999999999,86.4,186.0,58.41234607165335,20.8
74,75,15.2,27400.0,6.3,12747.871339586363,7.375,100.0,20720.0,65.12057166805654,19.9
75,76,14.5,20620.0,3.1,4174.738396241005,10.600000000000001,76.6,200.0,60.53463114143921,30.1
76,77,11.6,22820.0,3.2,5094.027978692262,7.499999999999999,83.7,239.0,60.179221466845135,23.0
77,78,9.4,26130.0,3.9,4712.13252625036,6.975,93.0,631.0,62.093007362673994,23.7
78,79,12.3,20180.0,2.8,3144.909456632946,7.175,55.2,62.0,58.31880339640737,31.4
79,80,16.6,19720.0,3.1,4430.31009200916,11.25,56.8,92.0,61.17932526889921,30.1
80,81,15.2,19880.0,3.0,3399.6751656397437,10.025,67.4,67.0,59.991731460641276,34.5
81,82,16.8,19560.0,3.0,3643.520973566764,10.825,69.4,70.0,58.35535275217296,30.8
82,83,15.4,21050.0,3.4,5517.029676785613,10.175,95.5,179.0,58.9785385921763,36.7
83,84,19.5,19400.0,3.4,4891.87261720279,11.975000000000001,91.0,157.0,58.15495814055156,30.8
84,85,9.3,20720.0,2.6,3078.5771725013215,7.125000000000001,67.7,101.0,58.92299459786441,34.4
85,86,14.0,20350.0,3.0,3554.0977302484,7.624999999999999,60.3,63.0,62.829152037178936,32.0
86,87,15.1,20400.0,3.1,3180.86884991961,8.675,64.6,68.0,62.274463971472485,35.9
87,88,15.4,19660.0,2.9,3586.610928732869,9.975,68.9,62.0,58.19989260889146,34.1
88,89,14.4,20230.0,2.9,4314.037322896559,8.775,43.1,45.0,57.09645562558563,35.3
89,90,14.2,21310.0,3.3,4119.9814895317695,9.600000000000001,81.4,233.0,60.45925288203501,28.2
90,91,12.7,23360.0,3.5,4781.387669446738,7.225,96.1,719.0,61.31286364680592,24.0
91,92,11.8,27090.0,4.9,5144.764264844598,7.075,100.0,9200.0,63.46613324869376,19.3
92,93,27.9,17310.0,3.8,8062.603235391788,11.975,100.0,6918.0,60.877154168161304,19.5
93,94,16.3,22290.0,4.1,5816.376377414934,8.375,100.0,5702.0,62.62043981145283,21.8
94,95,16.6,21470.0,3.6,5968.576074906928,9.524999999999999,96.0,994.0,60.78183574062841,22.1
